feature,coef,abs_coef
T_x_AST_global_rate,1.159723769237841,1.159723769237841
T_x_AST_w10_rate,0.520887165152844,0.520887165152844
AST_w5_mean,0.18913434760784273,0.18913434760784273
T_MIN,0.10023494030833824,0.10023494030833824
T_x_TOV_w10_rate,0.07598818101839838,0.07598818101839838
T_x_AST_w5_rate,0.07013776683139533,0.07013776683139533
OPP_ALLOWED_AST_global_mean,0.0675498835946118,0.0675498835946118
AST_global_rate,-0.058283806816788825,0.058283806816788825
AST_w10_rate,-0.053814079608420884,0.053814079608420884
T_x_TOV_w5_rate,0.04871983067614271,0.04871983067614271
T_x_STL_global_rate,0.04340611759613071,0.04340611759613071
OPP_ALLOWED_PTS_w10_mean,0.032376151107495386,0.032376151107495386
IS_HOME,0.03031768665416201,0.03031768665416201
IS_FORWARD,-0.030095995504594252,0.030095995504594252
AST_w5_rate,-0.029975886302564654,0.029975886302564654
FTA_w10_mean,0.02896091716074346,0.02896091716074346
MIN_w5_mean,-0.02784360473299418,0.02784360473299418
FG3M_global_var,-0.02613845630512684,0.02613845630512684
OPP_ALLOWED_AST_w10_mean,0.02612729355502415,0.02612729355502415
TEAM_FG_PCT_w5_mean,-0.023645467600404278,0.023645467600404278
PLUS_MINUS_w10_mean,-0.022622252905363547,0.022622252905363547
IS_GUARD,0.019135900500462055,0.019135900500462055
PLUS_MINUS_w5_mean,-0.015823352954524035,0.015823352954524035
FGM_w10_rate,0.01519388398665926,0.01519388398665926
T_x_TOV_global_rate,0.014144233549787475,0.014144233549787475
OPP_ALLOWED_PTS_global_var,-0.013868994228687204,0.013868994228687204
AST_w10_var,0.01380041789080535,0.01380041789080535
OPP_ALLOWED_PTS_w5_mean,0.013498078458436613,0.013498078458436613
T_x_OREB_w5_rate,-0.012621389168300499,0.012621389168300499
OREB_w5_mean,-0.012214231118491922,0.012214231118491922
FG3M_w10_var,-0.011838921151977926,0.011838921151977926
AST_global_var,0.011690204335895425,0.011690204335895425
FGA_global_rate,-0.010954914449244436,0.010954914449244436
FTM_global_var,-0.00967535885485277,0.00967535885485277
BLK_w10_mean,-0.009633214990190632,0.009633214990190632
OPP_ALLOWED_FG3M_global_var,-0.009458107748937988,0.009458107748937988
PF_w5_mean,-0.009318461469362967,0.009318461469362967
TEAM_FG_PCT_global_var,-0.00870125418665409,0.00870125418665409
OPP_ALLOWED_REB_w10_var,0.008659854110285907,0.008659854110285907
AST_w5_var,0.008614235355237558,0.008614235355237558
OPP_ALLOWED_REB_w10_mean,0.008271618353697652,0.008271618353697652
PF_w10_mean,-0.007386823583844746,0.007386823583844746
OREB_global_rate,-0.007178453133213967,0.007178453133213967
REB_w5_var,0.006881191742693236,0.006881191742693236
TEAM_FG_PCT_global_mean,-0.0068289978030282,0.0068289978030282
BLK_global_var,-0.006622715077741788,0.006622715077741788
STL_w10_rate,-0.006520600745843651,0.006520600745843651
MIN_w10_var,-0.006490575809135479,0.006490575809135479
OPP_ALLOWED_AST_w10_var,-0.00621667859006307,0.00621667859006307
FG3A_w5_mean,-0.0059794793985702005,0.0059794793985702005
