feature,coef,abs_coef
T_x_BLK_global_rate,0.3134039806784411,0.3134039806784411
OPP_ALLOWED_BLK_global_mean,0.03765341606664064,0.03765341606664064
T_x_BLK_w5_rate,0.031662051171613574,0.031662051171613574
BLK_global_var,0.028781585439158666,0.028781585439158666
T_x_BLK_w10_rate,0.020087255682772063,0.020087255682772063
BLK_global_rate,-0.0172758698365612,0.0172758698365612
IS_CENTER,0.01683905320020181,0.01683905320020181
T_x_REB_global_rate,0.015291988530762583,0.015291988530762583
T_MIN,0.01493932377266403,0.01493932377266403
T_x_REB_w10_rate,0.013317600615797452,0.013317600615797452
MIN_w5_mean,-0.01053359053391898,0.01053359053391898
T_x_OREB_global_rate,0.010020834836128008,0.010020834836128008
PF_global_var,0.009335179656584413,0.009335179656584413
IS_GUARD,-0.007996768825330068,0.007996768825330068
IS_HOME,0.005988679927025865,0.005988679927025865
T_x_OREB_w5_rate,0.005127838035012624,0.005127838035012624
OPP_ALLOWED_PTS_w5_mean,0.0046181528001474625,0.0046181528001474625
HISTORY_GAMES,-0.003992430982009195,0.003992430982009195
T_x_REB_w5_rate,0.003837262439051299,0.003837262439051299
BLK_w10_rate,-0.0038236992280721253,0.0038236992280721253
TEAM_REB_global_mean,-0.0036897394196106752,0.0036897394196106752
T_x_STL_w10_rate,0.003674258746895129,0.003674258746895129
MIN_global_var,-0.003203215553183247,0.003203215553183247
OPP_ALLOWED_PTS_w10_mean,0.002954212215569169,0.002954212215569169
AST_global_rate,-0.0027784559114112034,0.0027784559114112034
DREB_w10_var,-0.0023868008431081277,0.0023868008431081277
OPP_ALLOWED_REB_w10_mean,0.0019395013275434539,0.0019395013275434539
PLUS_MINUS_global_mean,-0.0017373876134358693,0.0017373876134358693
T_x_STL_global_rate,0.0017160091637503925,0.0017160091637503925
T_x_FGM_global_rate,0.0013556541815020432,0.0013556541815020432
IS_BACK_TO_BACK,-0.0009083195005150603,0.0009083195005150603
DREB_global_var,-0.0008981264053580471,0.0008981264053580471
OPP_ALLOWED_STL_w10_mean,0.0005882458054265312,0.0005882458054265312
OPP_ALLOWED_PTS_global_mean,0.0005838451156962878,0.0005838451156962878
BLK_w5_var,0.0005459374309820759,0.0005459374309820759
TEAM_AST_w5_var,0.0004929521293056743,0.0004929521293056743
TEAM_AST_w5_mean,0.0004141299678662028,0.0004141299678662028
BLK_w10_var,0.0003068819279320816,0.0003068819279320816
OPP_ALLOWED_AST_global_var,0.00019001245128326256,0.00019001245128326256
TEAM_AST_w10_var,0.00016852656411344436,0.00016852656411344436
FTM_w5_var,-0.00015241652049870265,0.00015241652049870265
REST_DAYS,8.605437701798298e-05,8.605437701798298e-05
TEAM_AST_global_var,0.0,0.0
TEAM_FG_PCT_global_mean,0.0,0.0
T_x_DREB_w5_rate,0.0,0.0
T_x_AST_w5_rate,-0.0,0.0
T_x_FG3M_w5_rate,-0.0,0.0
TEAM_FG3M_global_var,0.0,0.0
TEAM_FG3M_global_mean,-0.0,0.0
T_x_FG3A_w5_rate,0.0,0.0
