feature,coef,abs_coef
T_x_STL_global_rate,0.21411883087657854,0.21411883087657854
T_MIN,0.12310485211376021,0.12310485211376021
T_x_STL_w10_rate,0.047756591737105114,0.047756591737105114
OPP_ALLOWED_STL_global_mean,0.032380520913441575,0.032380520913441575
STL_global_var,0.024459144460928846,0.024459144460928846
STL_global_rate,-0.02116531099932231,0.02116531099932231
IS_CENTER,-0.017769775581828014,0.017769775581828014
OPP_ALLOWED_STL_w10_mean,0.017346115134442324,0.017346115134442324
IS_GUARD,0.01707733001410032,0.01707733001410032
T_x_AST_global_rate,0.015505434388902457,0.015505434388902457
T_x_AST_w10_rate,0.012473327571294436,0.012473327571294436
T_x_STL_w5_rate,0.011813580928719413,0.011813580928719413
MIN_w5_mean,-0.010747238738045587,0.010747238738045587
PTS_global_mean,-0.007902382440704991,0.007902382440704991
OPP_ALLOWED_FG_PCT_global_mean,0.00766759459541812,0.00766759459541812
MIN_w10_mean,-0.006848376523289854,0.006848376523289854
OPP_ALLOWED_BLK_global_mean,0.006009868169771923,0.006009868169771923
T_x_BLK_global_rate,0.005624227739557147,0.005624227739557147
PF_w10_mean,0.005142346326554784,0.005142346326554784
PTS_global_rate,-0.005046182133181674,0.005046182133181674
T_x_OREB_w5_rate,0.004942337524975174,0.004942337524975174
FG3M_global_var,-0.004585375767099207,0.004585375767099207
OPP_ALLOWED_PTS_w5_mean,0.004503009187763809,0.004503009187763809
TEAM_FG3M_w5_mean,-0.004040291854609361,0.004040291854609361
TEAM_REB_global_var,0.003694183396094515,0.003694183396094515
FGA_w5_var,-0.0035972601935792704,0.0035972601935792704
FG3M_w10_var,-0.0033948054174098006,0.0033948054174098006
T_x_BLK_w10_rate,0.0032270346000373247,0.0032270346000373247
OPP_ALLOWED_BLK_global_var,0.003197129132290186,0.003197129132290186
FT_EFF_global,-0.00310667657343217,0.00310667657343217
TOV_w10_rate,0.0028468717795390296,0.0028468717795390296
PLUS_MINUS_global_mean,0.0028417501821867376,0.0028417501821867376
OPP_ALLOWED_FG3M_w10_mean,0.0027881408560175465,0.0027881408560175465
OPP_ALLOWED_REB_w10_var,0.0024201948984784536,0.0024201948984784536
TEAM_PTS_global_mean,-0.0022204777644520084,0.0022204777644520084
FG3A_w5_var,-0.0020524336572927686,0.0020524336572927686
HISTORY_GAMES,0.002013175770210815,0.002013175770210815
TEAM_PTS_w10_mean,-0.0019283256467869962,0.0019283256467869962
TOV_w5_var,-0.0016204142915179505,0.0016204142915179505
IS_BACK_TO_BACK,-0.0012029811764584604,0.0012029811764584604
OPP_ALLOWED_AST_global_mean,0.0011603712734031847,0.0011603712734031847
OPP_ALLOWED_REB_global_var,-0.0008790413716021401,0.0008790413716021401
FTM_w5_var,0.0005924043141488994,0.0005924043141488994
T_x_FG3A_w10_rate,0.0005411263359368141,0.0005411263359368141
FG_EFF_w5,-0.0005392210806606995,0.0005392210806606995
OPP_ALLOWED_AST_w10_var,0.0005267157969271058,0.0005267157969271058
FGM_w10_var,-0.000386968989549554,0.000386968989549554
DREB_global_mean,-0.00029338251696704254,0.00029338251696704254
T_x_OREB_w10_rate,0.00029166872115231427,0.00029166872115231427
OPP_ALLOWED_FG3M_w5_mean,0.00027904996270313527,0.00027904996270313527
